일자,시가,고가,저가,종가,거래량,환율(원/달러)
2017-02-17,2072.57,2081.18,2072.57,2080.58,301517,1146.3
2017-02-20,2084.16,2085.59,2077.13,2084.39,297203,1147.5
2017-02-21,2085.97,2108.48,2085,2102.93,292539,1146.1
2017-02-22,2106.42,2108.98,2101.56,2106.61,312219,1142.6
2017-02-23,2106.15,2108.99,2103.11,2107.63,430850,1137.3
2017-02-24,2106.43,2107.83,2090.05,2094.12,385394,1131.5
2017-02-27,2095.47,2097.24,2084.08,2085.52,343702,1133.7
2017-02-28,2087.26,2094.41,2084.36,2091.64,399821,1130.7
2017-03-02,2105.19,2112.58,2096.31,2102.65,434713,1141.6
2017-03-03,2090.92,2091.59,2072.09,2078.75,425935,1156.1
2017-03-06,2073.2,2083.8,2067.68,2081.36,431445,1158
2017-03-07,2080.77,2096.79,2079.16,2094.05,277830,1146.1
2017-03-08,2092.27,2101.56,2088.19,2095.41,381441,1145.5
2017-03-09,2098.29,2100.08,2090.73,2091.06,408229,1158.1
2017-03-10,2088.67,2102.05,2082.31,2097.35,500860,1157.4
2017-03-13,2102.37,2122.88,2100.91,2117.59,382129,1144.4
2017-03-14,2127.12,2135.5,2124.42,2133.78,365074,1148.8
2017-03-15,2128.42,2135.38,2127.26,2133,374699,1143.6
2017-03-16,2154.98,2156.85,2143.01,2150.08,402424,1132
2017-03-17,2150.47,2164.59,2148.86,2164.58,302788,1130.9
2017-03-20,2160.32,2160.57,2151.51,2157.01,264946,1120.1
2017-03-21,2162.95,2181.99,2160.25,2178.38,303940,1120.3
2017-03-22,2159.97,2170,2158.96,2168.3,394425,1123.3
2017-03-23,2174.09,2182.42,2170.56,2172.72,358607,1122.4
2017-03-24,2171.36,2179.34,2163.34,2168.95,358673,1122.6
2017-03-27,2161.17,2165.25,2153.14,2155.66,395862,1112.8
2017-03-28,2166.58,2169.14,2157.71,2163.31,393970,1113
2017-03-29,2172.31,2172.31,2162.04,2166.98,626792,1114.2
2017-03-30,2170.18,2174.16,2159.16,2164.64,643563,1117.2
2017-03-31,2166.62,2166.93,2159.8,2160.23,441640,1118.4
2017-04-03,2166.04,2171.33,2161.26,2167.51,398513,1115.3
2017-04-04,2165.23,2166.94,2156.89,2161.1,522093,1121.9
2017-04-05,2161.9,2164.85,2146.98,2160.85,571691,1124.4
2017-04-06,2152.64,2153.83,2143.3,2152.75,510164,1133.2
2017-04-07,2154.87,2155.7,2142.51,2151.73,408456,1134.5
2017-04-10,2148.83,2148.83,2128.35,2133.32,512916,1142.2
2017-04-11,2129.23,2136.55,2117.82,2123.85,489309,1145.8
2017-04-12,2128.17,2129.82,2122.94,2128.91,427358,1141.4
2017-04-13,2130.64,2148.61,2125.87,2148.61,357582,1129.7
2017-04-14,2138.28,2141.61,2127.8,2134.88,383688,1140
2017-04-17,2140.87,2150.7,2138.7,2145.76,259303,1137.7
2017-04-18,2155.36,2155.36,2139.31,2148.46,291399,1142.4
2017-04-19,2144.98,2148.03,2133.82,2138.4,344221,1140.2
2017-04-20,2138.19,2150.43,2134.05,2149.15,268315,1139.8
2017-04-21,2161.24,2169.46,2156.64,2165.04,281540,1134.4
2017-04-24,2175.5,2177.89,2166.83,2173.74,374713,1129.9
2017-04-25,2175.7,2196.85,2174.11,2196.85,275897,1125.4
2017-04-26,2202.37,2210.61,2200.73,2207.84,397525,1125.1
2017-04-27,2201.72,2211.59,2199.76,2209.46,386106,1130.1
2017-04-28,2214.36,2217.04,2202.2,2205.44,268642,1137.9
2017-05-02,2213.61,2229.74,2212.87,2219.67,295139,1130.5
2017-05-04,2224.91,2241.24,2224.91,2241.24,261918,1132.7
2017-05-08,2245.61,2292.76,2244.23,2292.76,281761,1131.4
2017-05-10,2294.1,2323.22,2264.31,2270.12,422888,1135.8
2017-05-11,2278.47,2297.67,2271.66,2296.37,463460,1127.9
2017-05-12,2296.06,2296.51,2283.38,2286.02,335337,1127.4
2017-05-15,2288.23,2297.31,2280.6,2290.65,251594,1123.6
2017-05-16,2306.73,2309,2283.84,2295.33,368138,1116
2017-05-17,2291.56,2295.87,2283.01,2293.08,394821,1118.3
2017-05-18,2271.27,2288.85,2267.08,2286.82,378315,1124.5
2017-05-19,2286.78,2293.82,2282.13,2288.48,421133,1127.2
